brno_lesna;Brno – Lesná;49.2207756;16.6264553;293;aktualni-pocasi;0
drnovice_vyskov;Vyškov;49.2762950;16.9514631;272;aktualni-pocasi;0
nemcicky;Němčičky;48.9335278;16.8198333;247;aktualni-pocasi;0
brno;Brno;49.153;16.6888;241;archiv;0
sitborice;Štibořice;49.0143272;16.7797550;302;aktualni-pocasi;0
ivancice;Ivančice;49.1014447;16.3775183;207;aktualni-pocasi;0
dobrinsko;Moravský Krumlov;49.053554;16.2603139;304;aktualni-pocasi;0
kucharovice;Kuchařovice;48.8809;16.0852;334;archiv;0
dolni_dubnany;Dolní Dubňany;49.0580064;16.2263775;314;aktualni-pocasi;0
zbysov;Zbýšov;49.1530556;16.3483333;350;aktualni-pocasi;0
brno_s;Brno – Soběšice;49.2536111;16.6238889;374;aktualni-pocasi;0
domasov;Domašov;49.2438889;16.3447222;462;aktualni-pocasi;0
studnice_vyskov;Vyškov;49.37250;16.8805556;550;aktualni-pocasi;0
chlumec;Chlumec nad Cidlinou;50.1542453;15.4622186;223;aktualni-pocasi;0
kostelec_nad_orlici;Kostelec nad Orlicí;50.1258333;16.2111111;292;aktualni-pocasi;0
hradec;Hradec Králové;50.2038889;15.8185556;232;aktualni-pocasi;0
nove_mesto_nad_metuji;Nové Město nad Metují;50.3457636;16.1498297;360;aktualni-pocasi;0
velke_svatonovice;Velké Svatoňovice;50.5325303;16.0284483;370;aktualni-pocasi;0
polom;Polom;50.3503;16.3221;747;archiv;0
vitezna;Dvůr Králové nad Labem;50.4613878;15.8156458;435;aktualni-pocasi;0
mlazovice;Lázně Bělohrad;50.4119878;15.5209397;300;aktualni-pocasi;0
nova_paka;Nová Paka;50.4969444;15.5063889;448;aktualni-pocasi;0
spindleruv_mlyn;Špindlerův Mlýn;50.7252642;15.6085697;817;aktualni-pocasi;0
pec_pod_snezkou;Pec pod Sněžkou;50.6918;15.7287;816;archiv;0
nove_mesto_pod_smrkem;Nové Město pod Smrkem;50.9252778;15.2386111;492;aktualni-pocasi;0
frydlant;Frýdlant;50.9220892;15.0784808;320;aktualni-pocasi;0
liberec;Liberec;50.7699972;15.0584492;412;aktualni-pocasi;0
liberec;Liberec Ostašov;50.7697;15.0238;398;archiv;0
horni_sytova;Horní Sytová;50.6316089;15.4607183;390;aktualni-pocasi;0
smrzovka;Smržovka;50.7351503;15.2548433;605;aktualni-pocasi;0
ostrava;Ostrava Mošnov;49.6918;18.1126;251;archiv;0
vaclavovice;Václavovice;49.7555625;18.3724036;305;aktualni-pocasi;0
lubina;Rožnov pod Radhoštěm;49.4508333;18.1755556;290;aktualni-pocasi;0
lichnov;Frenštát pod Radhoštěm;49.5555556;18.1622222;370;aktualni-pocasi;0
ostrava;Ostrava – Výškovice;49.7775589;18.2187819;250;aktualni-pocasi;0
hladke_zivotice;Hladké Životice;49.6816667;17.9494444;282;aktualni-pocasi;0
opava_centrum;Opava centrum;49.9388731;17.9025094;263;aktualni-pocasi;0
janovice;Janovice;49.6240206;18.4086664;364;aktualni-pocasi;0
opava;Opava;49.9188506;17.9144706;250;aktualni-pocasi;0
holcovice;Město Albrechtice;50.1567528;17.4859742;476;aktualni-pocasi;0
sucha_rudna;Suchá Rudná;50.063;17.359;682;aktualni-pocasi;0
rymarov;Rýmařov;49.9317889;17.2718506;622;aktualni-pocasi;0
cervena;Červená hora;49.777;17.5418;750;archiv;0
